Date,City,Spending Group,Spending Subgroup,Treasury Spend Subgroup,Treausry Spend Group,Amount
Septt 2023,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,29812968.00
Septt 2023,"Seattle City, Washington",Housing,Affordable Housing,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,16300000.00
Septt 2023,"Seattle City, Washington",Economic and Workforce Development,Youth Workforce Development,Economic Impact Assistance: Other,Negative Economic Impacts,6357890.88
Septt 2023,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Public Sector Workforce: Rehiring Public Sector Staff,Public Health-Negative Economic Impact: Public Sector Capacity,6260000.00
Septt 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,6000000.00
Septt 2023,"Seattle City, Washington",Community Aid,Youth and Family Support,Healthy Childhood Environments: Child Care,Negative Economic Impacts,5000000.00
Septt 2023,"Seattle City, Washington",Infrastructure,Public Space,Other Public Health Services,Public Health,4208860.00
Septt 2023,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,4200000.00
Septt 2023,"Seattle City, Washington",Infrastructure,Public Space,Other Public Health Services,Public Health,4186472.00
Septt 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,3200000.00
Septt 2023,"Seattle City, Washington",Community Aid,Nonprofit Support,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,3000000.00
Septt 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Private Sector: Grants to other employers,Premium Pay,2951593.00
Septt 2023,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,2700000.00
Septt 2023,"Seattle City, Washington",Economic and Workforce Development,Neighborhood/Downtown Revitalization,Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,Negative Economic Impacts,2500000.00
Septt 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,2319604.81
Septt 2023,"Seattle City, Washington",Housing,Homelessness,Housing Support: Other Housing Assistance,Negative Economic Impacts,2300000.00
Septt 2023,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,2300000.00
Septt 2023,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,2225000.00
Septt 2023,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Administrative Expenses,Administrative,2072024.00
Septt 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,1980395.19
Septt 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Rehabilitation of Commercial Properties or Other Improvements,Negative Economic Impacts,1858721.61
Septt 2023,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,1657632.31
Septt 2023,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,1500000.00
Septt 2023,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Administrative Expenses,Administrative,1411000.00
Septt 2023,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,1300000.00
Septt 2023,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,1105000.00
Septt 2023,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,1050000.00
Septt 2023,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,1000000.00
Septt 2023,"Seattle City, Washington",Community Aid,Youth and Family Support,Healthy Childhood Environments: Child Care,Negative Economic Impacts,1000000.00
Septt 2023,"Seattle City, Washington",Infrastructure,Public Space,Other Public Health Services,Public Health,955824.00
Septt 2023,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,920995.00
Septt 2023,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,690000.00
Septt 2023,"Seattle City, Washington",Public Safety,Violence Reduction and Prevention,Community Violence Interventions,Public Health,600000.00
Septt 2023,"Seattle City, Washington",Infrastructure,Public Space,Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,Negative Economic Impacts,600000.00
Septt 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,580000.00
Septt 2023,"Seattle City, Washington",Public Health,Mental Health,Mental Health Services,Public Health,546540.00
Septt 2023,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,500000.00
Septt 2023,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,500000.00
Septt 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,500000.00
Septt 2023,"Seattle City, Washington",Infrastructure,Broadband,Household Assistance: Internet Access Programs,Negative Economic Impacts,500000.00
Septt 2023,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Public Sector Workforce: Rehiring Public Sector Staff,Public Health-Negative Economic Impact: Public Sector Capacity,465317.00
Septt 2023,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,450000.00
Septt 2023,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,400000.00
Septt 2023,"Seattle City, Washington",Infrastructure,Public Space,Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,Negative Economic Impacts,378694.92
Septt 2023,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,375000.00
Septt 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Aid to Other Impacted Industries,Negative Economic Impacts,350000.00
Septt 2023,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,308000.00
Septt 2023,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,300000.00
Septt 2023,"Seattle City, Washington",Public Health,COVID Response,COVID-19 Assistance to Small Businesses,Public Health,300000.00
Septt 2023,"Seattle City, Washington",Public Health,COVID Response,Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,295000.00
Septt 2023,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,281278.39
Septt 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,275000.00
Septt 2023,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Administrative Expenses,Administrative,268592.00
Septt 2023,"Seattle City, Washington",Public Health,COVID Response,Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,255200.00
Septt 2023,"Seattle City, Washington",Public Safety,Violence Reduction and Prevention,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,250000.00
Septt 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,225000.00
Septt 2023,"Seattle City, Washington",Public Health,COVID Response,Prevention in Congregate Settings (Nursing Homes Prisons/Jails Dense Work Sites Schools Child care facilities etc.),Public Health,183628.00
Septt 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,150000.00
Septt 2023,"Seattle City, Washington",Economic and Workforce Development,Tourism and Hospitality,Assistance to Impacted Nonprofit Organizations (Impacted or Disproportionately Impacted),Negative Economic Impacts,140500.00
Septt 2023,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,120000.00
Septt 2023,"Seattle City, Washington",Community Aid,Youth and Family Support,Economic Impact Assistance: Other,Negative Economic Impacts,104624.00
